"code","value"
A,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО"
"01","Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях"
"02",Лесоводство и лесозаготовки
"03",Рыболовство и рыбоводство
B,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ
"05",Добыча угля
"06",Добыча сырой нефти и природного газа
"07",Добыча металлических руд
"08",Добыча прочих полезных ископаемых
"09",Предоставление услуг в области добычи полезных ископаемых
C,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА
"10",Производство пищевых продуктов
"11",Производство напитков
"12",Производство табачных изделий
"13",Производство текстильных изделий
"14",Производство одежды
"15",Производство кожи и изделий из кожи
"16","Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения"
"17",Производство бумаги и бумажных изделий
"18",Деятельность полиграфическая и копирование носителей информации
"19",Производство кокса и нефтепродуктов
"20",Производство химических веществ и химических продуктов
"21","Производство лекарственных средств и материалов, применяемых в медицинских целях"
"22",Производство резиновых и пластмассовых изделий
"23",Производство прочей неметаллической минеральной продукции
"24",Производство металлургическое
"25","Производство готовых металлических изделий, кроме машин и оборудования"
"26","Производство компьютеров, электронных и оптических изделий"
"27",Производство электрического оборудования
"28","Производство машин и оборудования, не включенных в другие группировки"
"29","Производство автотранспортных средств, прицепов и полуприцепов"
"30",Производство прочих транспортных средств и оборудования
"55",Деятельность гостиниц и ресторанов
"31",Производство мебели
"32",Производство прочих готовых изделий
"33",Ремонт и монтаж машин и оборудования
D,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА"
"35","Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
E,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ"
"36","Забор, очистка и распределение воды"
"37",Сбор и обработка сточных вод
"38","Сбор, обработка и утилизация отходов; обработка вторичного сырья"
"39","Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов"
"43",Работы строительные специализированные
F,СТРОИТЕЛЬСТВО
"41",Строительство зданий
"42",Строительство инженерных сооружений
G,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ
"45",Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт
"46","Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами"
"47","Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами"
"68",Операции с недвижимым имуществом
H,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ
"49",Деятельность сухопутного и трубопроводного транспорта
"50",Деятельность водного транспорта
"51",Деятельность воздушного и космического транспорта
"52",Складское хозяйство и вспомогательная транспортная деятельность
"53",Деятельность почтовой связи и курьерская деятельность
I,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ
"56",Деятельность по предоставлению продуктов питания и напитков
J,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ
"58",Деятельность издательская
"59","Производство кинофильмов, видеофильмов и телевизионных программ, издание звукозаписей и нот"
"60",Деятельность в области телевизионного и радиовещания
"61",Деятельность в сфере телекоммуникаций
"62","Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги"
"63",Деятельность в области информационных технологий
K,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ
"64","Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению"
"65","Страхование, перестрахование, деятельность негосударственных пенсионных фондов, кроме обязательного социального обеспечения"
"66",Деятельность вспомогательная в сфере финансовых услуг и страхования
L,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ
M,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ"
"69",Деятельность в области права и бухгалтерского учета
"70",Деятельность головных офисов; консультирование по вопросам управления
"71","Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа"
"72",Научные исследования и разработки
"73",Деятельность рекламная и исследование конъюнктуры рынка
"74",Деятельность профессиональная научная и техническая прочая
"75",Деятельность ветеринарная
N,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ
"77",Аренда и лизинг
"81",Деятельность по обслуживанию зданий и территорий
"78",Деятельность по трудоустройству и подбору персонала
"79","Деятельность туристических агентств и прочих организаций, предоставляющих услуги в сфере туризма"
"80",Деятельность по обеспечению безопасности и проведению расследований
"82","Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса"
O,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ
"84","Деятельность органов государственного управления по обеспечению военной безопасности, обязательному социальному обеспечению"
"85",Образование
P,ОБРАЗОВАНИЕ
Q,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ
"86",Деятельность в области здравоохранения
"87",Деятельность по уходу с обеспечением проживания
"88",Предоставление социальных услуг без обеспечения проживания
R,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ"
"94",Деятельность общественных организаций
"90","Деятельность творческая, деятельность в области искусства и организации развлечений"
"91","Деятельность библиотек, архивов, музеев и прочих объектов культуры"
"92","Деятельность по организации и проведению азартных игр и заключению пари, по организации и проведению лотерей"
"93","Деятельность в области спорта, отдыха и развлечений"
S,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ
"95","Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения"
"96",Деятельность по предоставлению прочих персональных услуг
T,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ
"97",Деятельность домашних хозяйств с наемными работниками
"98",Деятельность недифференцированная частных домашних хозяйств по производству товаров и предоставлению услуг для собственного потребления
U,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ
"99",Деятельность экстерриториальных организаций и органов
"37193",Производство двигателей внутреннего сгорания автотранспортных средств
"1000",Всего
"67",Вспомогательная деятельность в сфере финансового посредничества и страхования
"40","Производство, передача и распределение электроэнергии, газа, пара и горячей воды"
"34","Производство автомобилей, прицепов и полуприцепов"
"54",Значение не определено
"0",Значение не определено
"51341",Значение не определено
"04",Значение не определено
"00",Значение не определено
"9133",Значение не определено
-,Значение не определено
